Product ID,Product Rating,Review Comments,Purchase Date,Return Date,Review Date,Category,
PROD-KS-2535,3,"Eva is on her to find a way to escape her abusive mother. When she meets a handsome stranger she doesn't know is the man she wants but the man she wants is strong and handsome. She is in love with him and will do anything to get her happily ever after.

I loved this book! I can't wait to see how the",2022-09-15,2022-09-26,2022-09-17,Kindle_Store,
PROD-CSaJ-4257,5,"This is my second Glamorise and I love the look. I will keep this bag in my wardrobe.I bought this for my son, he loves it! He wears it often and it's comfortable. I have been wearing it every day for about 2 years and it still holds up. I love it. I have a wide foot and I can wear it on my feet all",2023-06-27,2023-07-06,2023-06-30,Clothing_Shoes_and_Jewelry,
PROD-KS-5012,4,I absolutely love this series. The Ravens are the hottest protection force there is. They will do anything to protect and provide for their Fated. Can't wait to start the next book.,2023-02-16,,2023-03-03,Kindle_Store,
PROD-MaT-9785,5,"Probably best movie Rutger Howerton has made. Not too many people make a movie like this. If you want to watch a movie with Rutger Howerton, you will like this one. It is a very good movie.",2024-02-04,2024-02-14,2024-02-07,Movies_and_TV,
PROD-CSaJ-1434,5,"Unfortunately the black didn't work for a lot of my dresses. I wanted to love it ! The quality is beautiful and shipment and packing super cute. Hopefully, if I order the cream will work out better for me... if I order the other color will leave another review with pictures of what it worked with :)",2023-05-23,,2023-06-05,Clothing_Shoes_and_Jewelry,
PROD-SaO-6925,3,"I have mixed emotions about this water filter system. I love how it is hung from a tree, and doesn't require pumping, but I did run into problems. I used it for a week in Boundary Waters, at least the bag. After 4 days,providing water for 6 people, the filter was completely clogged, and is incapable",2023-04-17,,2023-04-20,Sports_and_Outdoors,
PROD-CSaJ-1434,5,"I really like these shoes. They have the wide toe box that most people need, and the heel is a little too wide. I am a 32D, and these are a little large for",2022-05-01,2022-05-09,2022-05-02,Clothing_Shoes_and_Jewelry,
PROD-MaT-2674,4,"This is a strong production filled with beautiful and dramatic singing, and Wixell's playing a dual role tightens the story. Some artistic lapses in the directing are made up for by the exceptional final act.",2024-11-18,,2024-12-12,Movies_and_TV,
PROD-TaHI-3677,4,I have had this in use for over a year and I have not had a problem.  The light is bright enough to see your feet and then the light goes on and off again.  The bulb is not dimmable so it will not last long.  I have had no issues with it.  I have the option of changing the color of the light to a wh,2023-03-15,2023-03-27,2023-03-18,Tools_and_Home_Improvement,
PROD-MaT-8527,4,"I had heard about 24 for a long time before ever seeing it.  I finally saw an episode a few weeks ago and thought it was quite good.  I ended up deciding to watch the first season.

It was certainly a highly entertaining show with no end to the action.  It contains murder, espionage, terrorism, trai",2024-08-26,,2024-09-13,Movies_and_TV,
